fact_check_id,fact_check_text
0,South Africa's PRASA hiring workers for railway Facebook posts falsely claim rail operator in South Africa has job openings for Soweto-Jo’burg route
1,“Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover” COVID-19 vaccines currently in use stimulate immunity to the same degree as natural infection without exposing the vaccinated person to the risks associated with the disease
2,"Photos show NATO leaders in Madrid, Spain Doctored photos of world leaders with 'Satanic art' made by artist to criticise power"
3,"Bus crash claims 18 lives in Milima, Zambia No deaths were reported but several people suffered injuries following a bus crash in Zambia’s Milima region"
4,U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover Fact check: Merck discontinues COVID-19 vaccine work over weak immune response
5,"혈압 정상수치, 한국만 120/80mmHg다. 혈압 정상수치, 한국만 120/80mmHg? 사실 아님… WHO 포함, 세계 각국 보건 당국 정상 혈압 120/80mmHg 미만 권고"
6,"호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다. 호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다? 상황에 따른 마스크 의무화 시행… 해외유입 신규 감염자 여전히 기록 중"
7,"La imagen de un niño sirio que duerme junto a las tumbas de sus padres El niño no duerme entre las tumbas de sus padres en Siria, fue una puesta en escena de un estudiante de fotografía"
8,Sir David Attenborough praises eco-friendly hotel in Singapore on Facebook This Facebook post about an ‘eco-friendly’ hotel in Singapore was not shared by a verified account for Sir David Attenborough
9,Leaves on trees prove Biden staged photo of departure to Europe White House trees do not prove Joe Biden staged departure photo
10,Bumpy landing of real Lufthansa flight This video of a Lufthansa aircraft was created using a flight simulator programme
11,"En agosto de 2021 se registró el primer caso de lambda en México, en Colima La variante lambda del virus que causa el covid-19 circula en México desde abril de 2021"
12,"This video shows an anti-lockdown rally in Austria This video shows football fans marching through an Austrian town in 2019, not an anti-lockdown rally"
13,"일본 제약사가 구충제 이버멕틴 임상 3상에서 오미크론 치료 효과를 발견했다 일본 제약사, 구충제 이버멕틴 임상 3상에서 오미크론 치료 효과 발견했다? 오보에 기반한 잘못된 정보"
14,"This video shows big potholes on a road in Mumbai, India This video shows a road in China’s Guangdong province"
15,Image shows electric car 'cemetery' in France Fact check: Viral image of an electric car 'cemetery' shows vehicles from a ride-share company in China
16,"The AMA “reversed course”, now “giving the green light to doctors prescribing HCQ to their COVID patients.” The American Medical Association does not reject nor support hydroxychloroquine as a treatment for COVID-19, nor did it change its position on the use matter"
17,Video shows Asian giant hornet attack in US in May 2020 This clip actually shows a bee attack outside a mall in Nicaragua
18,"La filarmónica de París toca el Bolero de Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena El video de una orquesta tocando el Bolero de Ravel sobre el Sena, en París, es de 2017"
19,Democrats have incited unrest Quotes from US Democrats falsely characterized as calls for violence
20,Photographs show British prehistoric monument of Stonehenge was artificially created in 1954 Stonehenge restoration photos shared alongside false claim monument was 'built in 1950s'
21,조지아 가이드스톤 구조물 자리에 트럼프 미국 전 대통령의 동상이 세워졌다. 이 사진은 2010년 촬영된 사진에 트럼프 美 전 대통령 흉상 사진을 합성한 것이다
22,"국가유공자 중 50만 명에 달하는 인원이 전라도 출신이다 전라도 출신 국가유공자, 50만 명에 달한다? 정부 공식 통계보다 높은 잘못된 수치"
23,"스타벅스가 한국 내 모든 매장을 닫고 철수하기로 했다 스타벅스, 한국 내 모든 매장 닫는다? 회사 측 '사실무근'"
24,Italy raided Vatican City and arrested scores of paedophile priests Fabricated report falsely claims Italian police 'arrested scores of paedophile cardinals' in Vatican
25,"Video muestra piloto ucraniano escapando de ataque ruso Video de un avión que esquiva disparos pertenece a un videojuego, no a un ataque en Ucrania"
26,"Census Bureau confirms conflict in total number of voters in 2020 election Census Bureau voter tally is self-reported, not official election data"
27,"La Comisión Europea pide que se feliciten las fiestas y no la Navidad El texto de la Comisión Europea sobre las fiestas y la Navidad era de uso interno, y fue retirado"
28,Covid-19 vaccines alter human DNA False posts that Covid vaccines alter DNA share pre-pandemic photo
29,The free Covid-19 vaccines South Korea plans to offer will be from Celltrion. Social media posts mislead on South Korean coronavirus vaccine
30,"Ha fallecido Gabriela Morreale y la prensa ni lo menciona La científica Morreale murió en 2017 y la prensa sí informó, contrario a lo dicho en redes"
31,"Photo shows anti-coronavirus restrictions protest in Bucharest in 2021 This photo shows an anti-government protest in Bucharest in 2017, not 2021"
32,"Un oso polar recién nacido El oso polar es de peluche, pero la especie es considerada vulnerable"
33,코로나19 백신 접종을 마친 호주 의사가 수술 도중 쓰러지는 모습이다 이 영상은 코로나19 백신이 출시되기 이전인 2020년 1월 중국에서 촬영된 것이다
34,"Photo shows homeless people in Los Angeles, California The image shows a Roma camp in the north of Paris"
35,A section of the $11 Billion Dollar Wall blew over during Hurricane Hanna Fact Check: $11 Billion Dollar Border Wall Did NOT Blow Down In Hurricane Hanna
36,"Fake cashew nuts made from flour and chemicals in Kerala state, India This video actually shows cashew-shaped biscuits being made"
37,"The man who faked being deaf and dumb for 62 years to avoid listening to his wife is now facing divorce from his wife after she found out the truth. No, man did not fake being deaf and dumb for 62 years"
38,"Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany This photo shows a street parade in Switzerland before the COVID-19 pandemic"
39,"La Torre Latinoamericana se ilumina al declararse la emergencia sanitaria en México Este edificio encendido no es la Torre Latinoamericana de México, sino el Empire State de Nueva York"
40,"Covid-19가 인공 지능 백신 접종 식별 인증서라는 뜻이다 Covid-19, '인공 지능 백신 접종 식별 인증서'라는 뜻이다? '코로나, 바이러스, 질병, 2019'의 영문 합성어"
41,A massive fire broke out at the Fukushima nuclear power plant after the March 16 earthquake in eastern Japan Social media users share misleading Fukushima plant claim after Japan earthquake
42,Trump statue erected on the site of a destroyed landmark in Georgia Edited image misleads in posts claiming Trump statue replaced destroyed US monument
43,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover Article misleads on Merck’s decision to drop Covid-19 vaccines
44,"Cita de Aristóteles: ""La esclavitud nunca tiene tanto éxito como cuando el esclavo está convencido de que es por su propio bien"" La cita sobre el “éxito” de la esclavitud no es de Aristóteles y no refleja su pensamiento"
45,"코로나19는 독감보다 약한 감기 바이러스다. 코로나19, 독감보다 약한 감기 바이러스다? 전문가 ‘코로나19 유발하는 SARS-CoV-2, 감기 바이러스와 달라’"
46,"문재인 대통령이 반미·친북 1인 시위를 벌였다. 文 대통령, 반미·친북 1인 시위했다? 2015년 역사 교과서 반대 1인 시위 사진 조작한 것"
47,"De Roux dijo que policías y soldados secuestrados estaban pagando cárcel De nuevo, De Roux no dijo que policías y soldados ‘no estaban secuestrados sino pagando cárcel en la selva’"
48,This photo shows Kim Jong-un in 2021 This photo has been digitally doctored to make Kim Jong-un look thinner
49,"Video shows face masks from China inserted with RFID chips No, the video was originally uploaded as satire by a Greece-based Facebook user"
