post,fact_check
"[속보] 일본 후쿠시마 원전
붉은 화염에 휩싸인 상황
현재상황
""죽고싶지 않다면 지금 당장 도망쳐야한다”
긴급대피령 내려진 흐쿠시마 7:34 ★긴급] 일본 후쿠시마 원전에서 화재 발생...일본 정부, 주변 지역에 긴급대피령 선포★
",A massive fire broke out at the Fukushima nuclear power plant after the March 16 earthquake in eastern Japan Social media users share misleading Fukushima plant claim after Japan earthquake
 같은 김정은으로 보이지 않는데.. 지금은 세상에서 일어나는 일들이 마치 연극이나 영화를 보는것 같다,This photo shows Kim Jong-un in 2021 This photo has been digitally doctored to make Kim Jong-un look thinner
" <트랜스휴먼 : 유전자변형, 하이브리드 잡종, 인간개조>

코로나백신 접종은 인류에 대한 천인공로할 유전자변형 생체실험입니다",Covid-19 vaccines alter human DNA False posts that Covid vaccines alter DNA share pre-pandemic photo
" 백신 접종을 하지 않은 사람들의 불법적인 봉쇄에 최대의 힘으로 저항하려고 길로 나온 오스트리아인.

Austrians out in full force resisting and defying the illegal lockdown of non-vaxxinated people.","This video shows an anti-lockdown rally in Austria This video shows football fans marching through an Austrian town in 2019, not an anti-lockdown rally"
 코로나 바이러스를 이용한 정부의 통제에 반발해서 일어난 루마니아 국민들. 국민들이 이 정도만 깨어있어도 좋겠다.,"Photo shows anti-coronavirus restrictions protest in Bucharest in 2021 This photo shows an anti-government protest in Bucharest in 2017, not 2021"
" {속보}이탈리아 경찰 & 군부대가 바티칸 시를 습격하고 소아성애자 추기경 체포 | UNnews 유엔뉴스 유엔신문
",Italy raided Vatican City and arrested scores of paedophile priests Fabricated report falsely claims Italian police 'arrested scores of paedophile cardinals' in Vatican
 남의것 뺏어가서 가짜 유적지를 만들고 우리나라 진짜 유적지는 장난감으로 덮으려하는 망할놈들!!,Photographs show British prehistoric monument of Stonehenge was artificially created in 1954 Stonehenge restoration photos shared alongside false claim monument was 'built in 1950s'
"새로운 조지아가이드스톤이 세워졌어요!!!
유엔뉴스
승인 2022.07.08 22:45 | 최종 수정 2022.07.08 23:06
자료:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
그 새로운 조지아 가이드스톤은 완벽해!!!
여러분은 어떻게 생각하십니까??
의견 0
UNNEWS 여러분은 어떻게 생각하십니까?
저는 섬칫하네요
황금 최고의 평화시대가 잠시오구
그 뒤에는 정말 무서운 
단일화 ㆍ우상시대가 온다는게
맞는것 같으네요",Trump statue erected on the site of a destroyed landmark in Georgia Edited image misleads in posts claiming Trump statue replaced destroyed US monument
"2021
CTIVE
사
PONAR
1044
다음 달부터 백신 접종 시작전 국민 무료 접종
보건 복지부.....10번 전화해 어떤 종류의 백신 이냐고
계속 전화 했더니....솔직히 답하네요
화이자․모데나.아스트라..........아니고
무료는 셀트리온 이라고 ",The free Covid-19 vaccines South Korea plans to offer will be from Celltrion. Social media posts mislead on South Korean coronavirus vaccine
" 스페인 마드리드에서 열린 NATO 정상회의. 우연은 없다; 이 ""기괴한 예술""의 본질은 당신에게 무엇을 말해주는가?","Photos show NATO leaders in Madrid, Spain Doctored photos of world leaders with 'Satanic art' made by artist to criticise power"
" Avion de lufthansa, se accideneta al querer aterrizar, la astucia del piloto evitá que ocurra una gran tragedia",Bumpy landing of real Lufthansa flight This video of a Lufthansa aircraft was created using a flight simulator programme
" Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el
coronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás",Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover Article misleads on Merck’s decision to drop Covid-19 vaccines
 Eco edificio en Singapur 🇸🇬 el primero en producir su propia electricidad con los mismos desechos del mismo edificio,Sir David Attenborough praises eco-friendly hotel in Singapore on Facebook This Facebook post about an ‘eco-friendly’ hotel in Singapore was not shared by a verified account for Sir David Attenborough
" Se acuerdan cuando decían que los autos eléctricos eran relativamente más ecológicos?

Ahora es hermoso verlos crecer libres en la naturaleza 🤗",Image shows electric car 'cemetery' in France Fact check: Viral image of an electric car 'cemetery' shows vehicles from a ride-share company in China
" UN ATAQUE DE AVISPONES...TENGO ENTENDIDO ES EN LOS ESTADOS UNIDOS.   OJO.
CUANDO HAYA UN PANAL HAY QUE MANTENER LA CALMA.  LOS RUIDOS Y MOVIMIENTOS BRUSCOS LAS ALTERAN.",Video shows Asian giant hornet attack in US in May 2020 This clip actually shows a bee attack outside a mall in Nicaragua
 ‪Las fuertes ráfagas de viento de la tormenta tropical #Hanna ocasionaron la caída de una parte del muro fronterizo entre Estados Unidos y México. ‬,A section of the $11 Billion Dollar Wall blew over during Hurricane Hanna Fact Check: $11 Billion Dollar Border Wall Did NOT Blow Down In Hurricane Hanna
" Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el
coronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás",“Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover” COVID-19 vaccines currently in use stimulate immunity to the same degree as natural infection without exposing the vaccinated person to the risks associated with the disease
 El hombre fingió ser sordo y mudo durante 62 años para evitar escuchar a su esposa.,"The man who faked being deaf and dumb for 62 years to avoid listening to his wife is now facing divorce from his wife after she found out the truth. No, man did not fake being deaf and dumb for 62 years"
" 🚨🚨🚨🚨BREAKING NEWS🚨🚨🚨🚨🚨
EL PRESIDENTE TRUMP ACTIVA LA LEY DE INSURRECCIÓN. LOS MILITARES HAN TOMADO EL CONTROL. 

ESTOS DÍAS ANTES DEL 20 DE ENERO SERÁN MUY FUERTES. YA COMENZARON LOS APAGONES EN VARIOS PAÍSES DEL MUNDO Y TAMBIÉN LOS ARRESTOS.

MR. ROMERO TV.",Democrats have incited unrest Quotes from US Democrats falsely characterized as calls for violence
" Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el
coronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás",U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover Fact check: Merck discontinues COVID-19 vaccine work over weak immune response
 I'm old enough to remember when hydroxychloroquine was a kook theory from a kook president.,"The AMA “reversed course”, now “giving the green light to doctors prescribing HCQ to their COVID patients.” The American Medical Association does not reject nor support hydroxychloroquine as a treatment for COVID-19, nor did it change its position on the use matter"
"MOM
Imahalo
Patriot news
@Grahmptr
...
....
JUST IN: US Census Bureau
Confirms HUGE CONFLICT in
Total Number of Voters in
2020 Election-More People
Voted Than Reported in 2020
Census Data. there is a
discrepancy of nearly four
million votes ","Census Bureau confirms conflict in total number of voters in 2020 election Census Bureau voter tally is self-reported, not official election data"
 18 people have died in the power tools accident today at Milemi few kilometers from Kasama today at 16hrs.,"Bus crash claims 18 lives in Milima, Zambia No deaths were reported but several people suffered injuries following a bus crash in Zambia’s Milima region"
" @POTUS This is a live shot of The White House today. The trees are mostly bare and the weather is overcast. 

Your administration is a propaganda machine spreading misinformation. 

Everything you do and say is a lie.",Leaves on trees prove Biden staged photo of departure to Europe White House trees do not prove Joe Biden staged departure photo
"Protest in Berlin today against the CV Lockdown and
tyranny
MSM says 20-25K protesters with most headlines
says ""thousands of people""...000
According to police:
800,000 to 1,300,000,000
KELLER
4444 ","Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany This photo shows a street parade in Switzerland before the COVID-19 pandemic"
" Made in China masks are made of plastic, sprayed with chemicals and often contain RFID chips. (44 seconds) Single-use masks are typically made from polypropylene, a petrol fuel-derived plastic that can take hundreds of years to break down.","Video shows face masks from China inserted with RFID chips No, the video was originally uploaded as satire by a Greece-based Facebook user"
" Hmmmm

""THIS IS LOS ANGELES, CALIFORNIA. And they made us to believe that we can only find shanties & slums like this in Africa. This is what they hide from us until you go there and see for yourself...""","Photo shows homeless people in Los Angeles, California The image shows a Roma camp in the north of Paris"
" PRASA is hiring for fixing of railway lines from Soweto to Johannesburg. Take your certified ID copy and Original ID book to Johannesburg Park Station, Prasa Offices. Kindly plug others.",South Africa's PRASA hiring workers for railway Facebook posts falsely claim rail operator in South Africa has job openings for Soweto-Jo’burg route
" Vehicle suspension testing machine installed successfully by BMC in MUMBAI..
WHAT AN AMAZING TECHNOLOGY ... 👇","This video shows big potholes on a road in Mumbai, India This video shows a road in China’s Guangdong province"
" Fake Cashewnuts, made in Kerala. Prepared by mixing maida and some chemicals, which gives the same taste of original cashew nuts cost per Kg is only Rs.300 to Rs.400.
Create awareness by sharing in your the groups","Fake cashew nuts made from flour and chemicals in Kerala state, India This video actually shows cashew-shaped biscuits being made"
"""La esclavitud
nunca tiene tanto
éxito como
cuando el esclavo
está convencido
de que es por su
propio bien"" -
Aristóteles ","Cita de Aristóteles: ""La esclavitud nunca tiene tanto éxito como cuando el esclavo está convencido de que es por su propio bien"" La cita sobre el “éxito” de la esclavitud no es de Aristóteles y no refleja su pensamiento"
" Último momento

Detectan el primer caso de la variante Lambda en México. 
Exactamente fue en el estado de Colima.
Se habla de que la variante Lambda es mas peligrosa que la variante Delta.","En agosto de 2021 se registró el primer caso de lambda en México, en Colima La variante lambda del virus que causa el covid-19 circula en México desde abril de 2021"
" Así luce la Torre Latinoamericana de cdmx después de la declaratoria de #EmergenciaSanitaria
Llegó la hora de #quedateencasa
No hagas reuniones
no carnes asadas con tus amigos
es #cuarentena
taggea a quienes no entienden!
#covid19","La Torre Latinoamericana se ilumina al declararse la emergencia sanitaria en México Este edificio encendido no es la Torre Latinoamericana de México, sino el Empire State de Nueva York"
 La Filarmonica de Paris vivenciando un bolero de M Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena,"La filarmónica de París toca el Bolero de Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena El video de una orquesta tocando el Bolero de Ravel sobre el Sena, en París, es de 2017"
 Soy un Oso Polar recien nacido y me estoy extinguiendo... pero como no soy un meme no me harás viral...,"Un oso polar recién nacido El oso polar es de peluche, pero la especie es considerada vulnerable"
"""Los Soldados y Policías no
estaban Secuestrados.
Ellos estaban Pagando Cárcel
allá en la Selva""
Francisco de Roux
Háganme el hp favor! Este sacerdote izquierdozo , es uno de los integrantes de la comisión de la verdad , según los acuerdos de la habana .","De Roux dijo que policías y soldados secuestrados estaban pagando cárcel De nuevo, De Roux no dijo que policías y soldados ‘no estaban secuestrados sino pagando cárcel en la selva’"
" A PESAR DE SUS LOGROS, ESTO NO ES NOTICIA.
Ha fallecido Gabriela Morreale de Castro: bioquímica, precursora de la detección precoz de hipotiroidismo congénito en recién nacidos mediante la prueba del talón. La prensa ni lo menciona.","Ha fallecido Gabriela Morreale y la prensa ni lo menciona La científica Morreale murió en 2017 y la prensa sí informó, contrario a lo dicho en redes"
