post_id,post_text
0, La Filarmonica de Paris vivenciando un bolero de M Ravel en una plataforma sobre el Sena por el levantamiento de la cuarentena
1,"MOM
Imahalo
Patriot news
@Grahmptr
...
....
JUST IN: US Census Bureau
Confirms HUGE CONFLICT in
Total Number of Voters in
2020 Election-More People
Voted Than Reported in 2020
Census Data. there is a
discrepancy of nearly four
million votes "
2," Así luce la Torre Latinoamericana de cdmx después de la declaratoria de #EmergenciaSanitaria
Llegó la hora de #quedateencasa
No hagas reuniones
no carnes asadas con tus amigos
es #cuarentena
taggea a quienes no entienden!
#covid19"
3, El hombre fingió ser sordo y mudo durante 62 años para evitar escuchar a su esposa.
4," A PESAR DE SUS LOGROS, ESTO NO ES NOTICIA.
Ha fallecido Gabriela Morreale de Castro: bioquímica, precursora de la detección precoz de hipotiroidismo congénito en recién nacidos mediante la prueba del talón. La prensa ni lo menciona."
5," 스페인 마드리드에서 열린 NATO 정상회의. 우연은 없다; 이 ""기괴한 예술""의 본질은 당신에게 무엇을 말해주는가?"
6, I'm old enough to remember when hydroxychloroquine was a kook theory from a kook president.
7," <트랜스휴먼 : 유전자변형, 하이브리드 잡종, 인간개조>

코로나백신 접종은 인류에 대한 천인공로할 유전자변형 생체실험입니다"
8,"""La esclavitud
nunca tiene tanto
éxito como
cuando el esclavo
está convencido
de que es por su
propio bien"" -
Aristóteles "
9, Eco edificio en Singapur 🇸🇬 el primero en producir su propia electricidad con los mismos desechos del mismo edificio
10,"이런한심한자가 대통령이란다.
반공법폐지
국정원폐지
한미동맹반대
통일연방제
북 핵은자위적
신미주당
미치광이 김정은의 하수인.
있는 대수술 9일 "
11," 🎯드디어 StarBucks 한국 탈출❗ 
🎯Star Bucks Korea의 주식을 전량 매각. 
1580개 점포 폐쇄. 
전세계 매출 2위 한국을 떠난다❗"
12," Hmmmm

""THIS IS LOS ANGELES, CALIFORNIA. And they made us to believe that we can only find shanties & slums like this in Africa. This is what they hide from us until you go there and see for yourself..."""
13,"전라도에서만 국가유공자가
50만이라니.이게
말이되나?김대중.노무현 정권하에서
국가유공자까지 하면
70만명이다.이들 직계가족들 까지
혜택을 받으니 그 수는 상상을 초월
한다.103만 공무원중 60~70%가
이들 유공자들이다.제도 정비가
시급하다. "
14,"새로운 조지아가이드스톤이 세워졌어요!!!
유엔뉴스
승인 2022.07.08 22:45 | 최종 수정 2022.07.08 23:06
자료:SpecialQForces sQuad
That new Georgia Guidestone is PERFECTO!!!
그 새로운 조지아 가이드스톤은 완벽해!!!
여러분은 어떻게 생각하십니까??
의견 0
UNNEWS 여러분은 어떻게 생각하십니까?
저는 섬칫하네요
황금 최고의 평화시대가 잠시오구
그 뒤에는 정말 무서운 
단일화 ㆍ우상시대가 온다는게
맞는것 같으네요"
15," Avion de lufthansa, se accideneta al querer aterrizar, la astucia del piloto evitá que ocurra una gran tragedia"
16, 18 people have died in the power tools accident today at Milemi few kilometers from Kasama today at 16hrs.
17,"콜오나는 독감보다 약한
감기바이러스다.
대다수 건강한 국민은
자연면역력으로 치유가
가능하므로 콜오나백신을
맞을 필요가 없다.
콜오나는
상기도바이러스이므로
백신으로 혈액 속에 만든
인공적인 항체와 만날 수가
없어 집단면역은
불가능하다.
백신접종의 이익이 부작용
피해보다 크다는 주장은
과학적인 근거가 있나? "
18," PRASA is hiring for fixing of railway lines from Soweto to Johannesburg. Take your certified ID copy and Original ID book to Johannesburg Park Station, Prasa Offices. Kindly plug others."
19," Vehicle suspension testing machine installed successfully by BMC in MUMBAI..
WHAT AN AMAZING TECHNOLOGY ... 👇"
20,"혈압 정상수치
140/100
(mmHg)
WHO 성인 혈압 권고치 입니다
한국만 120/80....약 팔아 먹기위해
의사협회의 압력이 이렇게 막강 합니다 "
21, 같은 김정은으로 보이지 않는데.. 지금은 세상에서 일어나는 일들이 마치 연극이나 영화를 보는것 같다
22," 우리는 백신 캠페인 이후 쓰러지는 여러 스포츠맨, 기자, 인터뷰를 보았습니다.
 물론 우리는 실제로 카메라 앞에 있는 장면만 볼 수 있습니다.

 더 나쁜 것은 다른 사람들의 삶을 책임지는 사람들에게 일어날 때입니다 ..."
23," Se acuerdan cuando decían que los autos eléctricos eran relativamente más ecológicos?

Ahora es hermoso verlos crecer libres en la naturaleza 🤗"
24," @POTUS This is a live shot of The White House today. The trees are mostly bare and the weather is overcast. 

Your administration is a propaganda machine spreading misinformation. 

Everything you do and say is a lie."
25," UN ATAQUE DE AVISPONES...TENGO ENTENDIDO ES EN LOS ESTADOS UNIDOS.   OJO.
CUANDO HAYA UN PANAL HAY QUE MANTENER LA CALMA.  LOS RUIDOS Y MOVIMIENTOS BRUSCOS LAS ALTERAN."
26, 남의것 뺏어가서 가짜 유적지를 만들고 우리나라 진짜 유적지는 장난감으로 덮으려하는 망할놈들!!
27," Un piloto ucraniano denominado el fantasma de Kiev  combatiendo y esquivando el ataque ruso  el héroe que derivo 6 aviones ruso 
 amén para ese valiente piloto 🙏🙏🙏🙏🙏"
28," 이태리 의사의 코로나 검사와 백신에대한 
경고‼️‼️

꼬로놔주솨안돼!경고야!コロナワクチンけ警告

즉삭제각 영상이라 또 내 놀방영상이랑 짬뽕해서 
올려놨지용~ㅎ

구독과 좋아요 주세용~💕💕"
29," Fake Cashewnuts, made in Kerala. Prepared by mixing maida and some chemicals, which gives the same taste of original cashew nuts cost per Kg is only Rs.300 to Rs.400.
Create awareness by sharing in your the groups"
30,"[속보] 일본 후쿠시마 원전
붉은 화염에 휩싸인 상황
현재상황
""죽고싶지 않다면 지금 당장 도망쳐야한다”
긴급대피령 내려진 흐쿠시마 7:34 ★긴급] 일본 후쿠시마 원전에서 화재 발생...일본 정부, 주변 지역에 긴급대피령 선포★
"
31," 로이터통신에 따르면 코와는 임상 3상 시험 결과 ""이버멕틴이 오미크론 변이에 대한 항바이러스 효과가 있다는 것을 확인했다""고 31일 발표했다."
32," 🚨🚨🚨🚨BREAKING NEWS🚨🚨🚨🚨🚨
EL PRESIDENTE TRUMP ACTIVA LA LEY DE INSURRECCIÓN. LOS MILITARES HAN TOMADO EL CONTROL. 

ESTOS DÍAS ANTES DEL 20 DE ENERO SERÁN MUY FUERTES. YA COMENZARON LOS APAGONES EN VARIOS PAÍSES DEL MUNDO Y TAMBIÉN LOS ARRESTOS.

MR. ROMERO TV."
33,"Protest in Berlin today against the CV Lockdown and
tyranny
MSM says 20-25K protesters with most headlines
says ""thousands of people""...000
According to police:
800,000 to 1,300,000,000
KELLER
4444 "
34," Made in China masks are made of plastic, sprayed with chemicals and often contain RFID chips. (44 seconds) Single-use masks are typically made from polypropylene, a petrol fuel-derived plastic that can take hundreds of years to break down."
35, ‪Las fuertes ráfagas de viento de la tormenta tropical #Hanna ocasionaron la caída de una parte del muro fronterizo entre Estados Unidos y México. ‬
36,"""Los Soldados y Policías no
estaban Secuestrados.
Ellos estaban Pagando Cárcel
allá en la Selva""
Francisco de Roux
Háganme el hp favor! Este sacerdote izquierdozo , es uno de los integrantes de la comisión de la verdad , según los acuerdos de la habana ."
37, 코로나 바이러스를 이용한 정부의 통제에 반발해서 일어난 루마니아 국민들. 국민들이 이 정도만 깨어있어도 좋겠다.
